Timestamp,Select all of the following activities you are currently involved in.,Do you want to transfer to a 4 year institution? ,Do you want to transfer to an out-of-state institution?,Which type of institution do you want to transfer to?,After how many years at Community College do you hope to transfer (enter just the number)
10/15/2024 19:37:55,"Community Service/Volunteer Work, Sports, Instruments, Hobbies, Educational Preparation Program, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",1
10/16/2024 13:05:48,"Community Service/Volunteer Work, Leadership Position",Yes,No,"Public University (UC's, CSU's, etc)",2
10/17/2024 10:32:06,"Sports, Instruments, Hobbies, Educational Preparation Program, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",1
10/17/2024 11:59:45,"Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",2
10/17/2024 13:30:41,None,Yes,No,"Public University (UC's, CSU's, etc)",3
10/17/2024 13:30:48,"Community Service/Volunteer Work, Paid Work/Internship, None",Yes,No,"Public University (UC's, CSU's, etc)",3
10/17/2024 13:31:21,None,Yes,No,"Public University (UC's, CSU's, etc)",3
10/17/2024 13:48:14,"Educational Preparation Program, Personal Project/Business",Yes,No,"Public University (UC's, CSU's, etc)",1
10/17/2024 16:48:33,"Community Service/Volunteer Work, Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/21/2024 15:04:54,"Community Service/Volunteer Work, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,Private University,2
10/25/2024 17:55:48,None,Yes,No,"Public University (UC's, CSU's, etc)",3
10/25/2024 18:03:06,"Sports, Instruments, Hobbies, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/25/2024 18:08:24,"Community Service/Volunteer Work, Paid Work/Internship, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/25/2024 18:08:59,"Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/25/2024 18:09:50,"Community Service/Volunteer Work, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,Yes,"Public University (UC's, CSU's, etc)",2
10/25/2024 18:19:54,"Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",1
10/25/2024 18:22:32,"Sports, Instruments, Hobbies, Photography",No,,,
10/25/2024 18:22:44,"School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/25/2024 18:26:57,"Community Service/Volunteer Work, Sports, Instruments, Hobbies",Yes,,,2
10/25/2024 18:27:35,"Community Service/Volunteer Work, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
10/25/2024 18:36:10,None,No,,,
10/25/2024 18:37:54,"Community Service/Volunteer Work, Paid Work/Internship",Yes,Yes,"Public University (UC's, CSU's, etc)",1
10/25/2024 18:51:37,"Paid Work/Internship, Leadership Position",Yes,No,"Public University (UC's, CSU's, etc)",2
10/25/2024 18:52:07,"Paid Work/Internship, Sports, Instruments, Hobbies",Yes,Yes,"Public University (UC's, CSU's, etc)",2
10/25/2024 19:01:50,"Community Service/Volunteer Work, Paid Work/Internship",Yes,No,"Public University (UC's, CSU's, etc)",4
10/25/2024 19:20:37,"Community Service/Volunteer Work, Paid Work/Internship",Yes,No,"Public University (UC's, CSU's, etc)",2 1/2
10/25/2024 19:24:11,"School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
10/25/2024 19:29:10,None,Yes,No,"Public University (UC's, CSU's, etc)",2
10/25/2024 19:42:10,"Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,,,2
10/26/2024 21:52:54,"Paid Work/Internship, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 11:43:02,"Community Service/Volunteer Work, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 11:48:10,"Paid Work/Internship, Sports, Instruments, Hobbies, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,Yes,Private University,3
10/28/2024 11:51:10,"Paid Work/Internship, Sports, Instruments, Hobbies, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,Yes,"Public University (UC's, CSU's, etc)",3
10/28/2024 11:53:09,None,No,,,
10/28/2024 11:53:33,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",100
10/28/2024 11:53:51,None,No,No,"Public University (UC's, CSU's, etc)",
10/28/2024 11:54:34,"Community Service/Volunteer Work, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 11:55:33,Paid Work/Internship,No,,,
10/28/2024 11:56:40,Paid Work/Internship,No,,,
10/28/2024 11:57:12,"School Life (Clubs, Programs, Student Gov)",No,,,
10/28/2024 11:57:18,None,Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 11:58:20,"Sports, Instruments, Hobbies",Yes,,"Public University (UC's, CSU's, etc)",2
10/28/2024 11:59:16,Paid Work/Internship,Yes,No,Private University,2
10/28/2024 11:59:22,"Community Service/Volunteer Work, Paid Work/Internship, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",4
10/28/2024 12:00:22,"Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:00:33,"Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:02:31,None,No,,,
10/28/2024 12:02:47,"School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:02:51,None,Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:02:52,"Paid Work/Internship, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:03:10,None,Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:04:24,None,Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:04:31,Paid Work/Internship,No,,,
10/28/2024 12:04:34,Paid Work/Internship,Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:05:17,"Community Service/Volunteer Work, Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:09:56,"Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:10:02,"Paid Work/Internship, Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:11:18,"Paid Work/Internship, Sports, Instruments, Hobbies, Educational Preparation Program, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:11:38,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:13:05,None,Yes,Yes,Private University,2
10/28/2024 12:14:30,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:21:39,"Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:21:43,None,Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:22:38,"Sports, Instruments, Hobbies",No,,,
10/28/2024 12:25:10,None,Yes,Yes,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:25:43,"Paid Work/Internship, School Life (Clubs, Programs, Student Gov)",Yes,Yes,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:26:08,"Paid Work/Internship, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:26:35,"Paid Work/Internship, Sports, Instruments, Hobbies, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:27:45,None,Yes,No,"Public University (UC's, CSU's, etc)",1-2
10/28/2024 12:30:06,None,Yes,Yes,"Public University (UC's, CSU's, etc)",1
10/28/2024 12:32:11,None,Yes,Yes,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:32:40,None,Yes,Yes,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:35:40,"Community Service/Volunteer Work, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:37:42,None,Yes,No,Private University,
10/28/2024 12:38:13,"Community Service/Volunteer Work, Paid Work/Internship, Leadership Position",Yes,,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:38:23,"School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",1
10/28/2024 12:40:47,None,Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:42:02,Paid Work/Internship,Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:42:30,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",No,,,
10/28/2024 12:43:02,"Paid Work/Internship, Educational Preparation Program, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3 years
10/28/2024 12:44:13,"Paid Work/Internship, Sports, Instruments, Hobbies",Yes,Yes,Private University,3
10/28/2024 12:44:25,"Paid Work/Internship, Sports, Instruments, Hobbies, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
10/28/2024 12:44:52,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,Yes,Private University,2
10/28/2024 12:44:56,"Community Service/Volunteer Work, Sports, Instruments, Hobbies, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:48:00,None,Yes,Yes,Private University,2
10/28/2024 12:48:04,Community Service/Volunteer Work,Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 12:50:55,"Community Service/Volunteer Work, Educational Preparation Program, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 13:01:23,"Community Service/Volunteer Work, Sports, Instruments, Hobbies, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/28/2024 13:01:27,"Paid Work/Internship, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2.5
10/28/2024 13:03:11,"Community Service/Volunteer Work, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,,,
10/28/2024 14:02:00,"Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,Yes,"Public University (UC's, CSU's, etc)",3
10/28/2024 18:46:49,"Community Service/Volunteer Work, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/29/2024 4:57:23,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
10/29/2024 14:32:07,"Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
